Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2025-02-01,Income
Rent,February_house_rent,12960,2025-02-02,Expense
Shopping,Home_decor,914,2025-02-02,Expense
Food,Grocery_refill,1285,2025-02-03,Expense
Food,Grocery_refill,1564,2025-02-06,Expense
Food,Lunch_with_friends,484,2025-02-08,Expense
Food,Grocery_shopping,1472,2025-02-11,Expense
Food,Lunch_outside,460,2025-02-12,Expense
Spotify,Monthly_subscription,119,2025-02-13,Expense
Spotify,Family_plan_renewal,179,2025-02-17,Expense
Food,Milk_and_bread,117,2025-02-18,Expense
Salary,Freelance_payment,5873,2025-02-20,Income
Food,Milk_and_bread,104,2025-02-20,Expense
Food,Coffee_and_snacks,194,2025-02-20,Expense
Food,Dinner_order,599,2025-02-21,Expense
Shopping,Electronics_accessory,2754,2025-02-22,Expense
Rent,Maintenance_charges,1668,2025-02-24,Expense
Food,Lunch_with_friends,475,2025-02-24,Expense
Shopping,Books_purchase,894,2025-02-25,Expense
Shopping,Online_accessories,1259,2025-02-26,Expense
