Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2026-03-01,Income
Food,Grocery_shopping,1728,2026-03-01,Expense
Food,Lunch_order,487,2026-03-01,Expense
Shopping,Electronics_accessory,2384,2026-03-01,Expense
Rent,March_house_rent,11391,2026-03-02,Expense
Spotify,Family_plan_renewal,179,2026-03-02,Expense
Food,Dessert_and_snacks,211,2026-03-02,Expense
Food,Dinner_order,690,2026-03-02,Expense
Shopping,Makeup_purchase,1965,2026-03-02,Expense
Rent,Advance_rent_adjustment,3046,2026-03-03,Expense
Food,Snacks_and_juice,330,2026-03-03,Expense
Food,Breakfast_outside,156,2026-03-03,Expense
Rent,Maintenance_charges,2296,2026-03-04,Expense
Spotify,Monthly_subscription,119,2026-03-05,Expense
Food,Coffee_and_snacks,244,2026-03-05,Expense
Shopping,Footwear_purchase,2829,2026-03-05,Expense
Food,Grocery_refill,1448,2026-03-06,Expense
Food,Lunch_with_friends,542,2026-03-07,Expense
Food,Snacks_and_juice,298,2026-03-07,Expense
Shopping,Books_purchase,409,2026-03-07,Expense
Food,Breakfast_outside,283,2026-03-08,Expense
Food,Coffee_and_snacks,241,2026-03-13,Expense
Salary,Freelance_payment,5535,2026-03-15,Income
Food,Dessert_and_snacks,207,2026-03-15,Expense
