Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,2026-01-01,Income
Food,Coffee_and_snacks,296,2026-01-01,Expense
Rent,January_house_rent,11507,2026-01-02,Expense
Food,Snacks_and_juice,264,2026-01-03,Expense
Food,Dinner_order,442,2026-01-04,Expense
Spotify,Monthly_subscription,119,2026-01-05,Expense
Rent,Maintenance_charges,1724,2026-01-09,Expense
Food,Grocery_refill,1128,2026-01-09,Expense
Food,Snacks_and_juice,287,2026-01-09,Expense
Shopping,Gym_accessories,883,2026-01-09,Expense
Shopping,Clothes_purchase,2595,2026-01-09,Expense
Food,Snacks_and_juice,164,2026-01-11,Expense
Food,Breakfast_outside,186,2026-01-14,Expense
Shopping,Bag_purchase,2946,2026-01-14,Expense
Shopping,Makeup_purchase,1153,2026-01-14,Expense
Rent,Advance_rent_adjustment,2893,2026-01-19,Expense
Food,Breakfast_outside,273,2026-01-23,Expense
Shopping,Books_purchase,588,2026-01-24,Expense
Spotify,Family_plan_renewal,179,2026-01-25,Expense
Shopping,Electronics_accessory,2745,2026-01-25,Expense
Food,Lunch_outside,565,2026-01-26,Expense
Shopping,Home_decor,961,2026-01-29,Expense
Food,Breakfast_outside,287,2026-01-30,Expense
Salary,Freelance_payment,8404,2026-01-31,Income
